Year,Africa Carbon Emission (tonnes),U.S Carbon Emission (tonnes),Annual Mean CO2 (PPM),Africa Population (Millions),U.S Population (Millions)
1980,536509759,4808295761,338.91,476386273,229476354
1981,549389371,4686171508,340.11,490003891,231636058
1982,572603068,4447079918,340.86,504034199,233821844
1983,595441085,4429186731,342.53,518479753,236030238
1984,650285298,4661920937,344.07,533345172,238256844
1985,666683905,4652382863,345.54,548626148,240499825
1986,690699782,4663165469,346.97,564327260,242763148
1987,690794283,4825444723,348.68,580424361,245052789
1988,726048074,5050267778,351.16,596849000,247372264
1989,699220923,5131926576,352.78,613512110,249725805
1990,659294543,5113454675,354.05,630349639,252120309
1991,689025539,5057930940,355.39,647343997,254539370
1992,668677085,5167480847,356.09,664512055,256990613
1993,708858320,5267343060,356.83,681869283,259532129
1994,719622610,5358824048,358.33,699445343,262241196
1995,771994122,5421502465,360.17,717270078,265163745
1996,783254265,5610581589,361.93,735361115,268335003
1997,812903488,5686464995,363.05,753737610,271713635
1998,838022046,5731049595,365.7,772437113,275175301
1999,830397266,5804668919,367.8,791504166,278548150
2000,886561876,6010508353,368.96,810984226,281710909
2001,884168245,5904881595,370.57,830902585,284607993
2002,892574682,5946770566,372.59,851298405,287279318
2003,967219666,6011837495,375.15,872248381,289815562
2004,1036685536,6114006880,376.95,893842821,292354658
2005,1057341604,6134521473,378.98,916154288,294993511
2006,1090194921,6051668046,381.15,939210020,297758969
2007,1132293212,6131004158,382.9,963021802,300608429
2008,1181391104,5914077766,385.02,987623496,303486012
2009,1191035249,5478209686,386.5,1013045754,306307567
2010,1218023292,5675786435,388.76,1039304033,309011475
2011,1258708905,5540173478,390.63,1066409700,311584047
2012,1253144211,5338698344,392.65,1094343067,314043885
2013,1260316387,5474256770,395.4,1123045081,316400538
2014,1363499747,5522807202,397.34,1152433627,318673411
2015,1322735077,5371770557,399.65,1182438784,320878310
2016,1356719492,5248023931,403.06,1213040521,323015995
2017,1384372117,5207751278,405.22,1244222267,325084756
2018,1385644894,5375490614,407.62,1275920972,327096265
2019,1408478929,5255816207,410.07,1308064195,329064917
2020,1326043539,4712770573,412.44,1340598147,331002651